Sigla da UF;Código do Município;Nome do Município;Rede;Língua Portuguesa SAEB -2017;Língua Portuguesa SAEB -2019;Língua Portuguesa SAEB - 2021;Língua Portuguesa SAEB - 2023
RO;1100015;Alta Floresta D'Oeste;Estadual;260,96;278,52;266,52;273,68
RO;1100015;Alta Floresta D'Oeste;Pública;260,96;278,52;266,52;273,68
RO;1100023;Ariquemes;Estadual;267,82;277,61;269,05;271,11
RO;1100023;Ariquemes;Federal;ND;ND;-;ND
RO;1100023;Ariquemes;Pública;268,22;278,78;269,05;274,56
RO;1100031;Cabixi;Estadual;239,01;ND;257,68;256,32
RO;1100031;Cabixi;Pública;239,01;ND;257,68;256,32
RO;1100049;Cacoal;Estadual;254,93;269,97;270,91;260,23
RO;1100049;Cacoal;Federal;288,41;318,09;-;305,36
RO;1100049;Cacoal;Pública;257,82;278,36;270,91;268,93
RO;1100056;Cerejeiras;Estadual;274,09;283,11;ND;275,23
RO;1100056;Cerejeiras;Pública;274,09;283,11;ND;275,23
RO;1100064;Colorado do Oeste;Estadual;260,09;279,72;261,58;267,06
RO;1100064;Colorado do Oeste;Federal;287,51;283,27;-;298,2
RO;1100064;Colorado do Oeste;Pública;273,42;282,09;ND;284,06
RO;1100072;Corumbiara;Estadual;246,54;271,16;274,23;256,99
RO;1100072;Corumbiara;Pública;246,54;271,16;274,23;256,99
RO;1100080;Costa Marques;Estadual;261,11;264,26;274,19;257,28
RO;1100080;Costa Marques;Pública;261,11;264,26;274,19;257,28
RO;1100098;Espigão D'Oeste;Estadual;275,2;276,43;262,64;269,35
RO;1100098;Espigão D'Oeste;Pública;275,2;276,43;262,64;269,35
RO;1100106;Guajará-Mirim;Estadual;254,94;260,47;261,58;261,6
RO;1100106;Guajará-Mirim;Federal;ND;ND;-;ND
RO;1100106;Guajará-Mirim;Pública;254,94;272,51;261,58;269,69
RO;1100114;Jaru;Estadual;257,38;267,86;266,52;261,62
RO;1100114;Jaru;Federal;ND;ND;ND;ND
RO;1100114;Jaru;Pública;257,38;267,86;266,52;270,38
RO;1100122;Ji-Paraná;Estadual;265,68;279,83;273,58;267,74
RO;1100122;Ji-Paraná;Federal;318,24;-;-;ND
RO;1100122;Ji-Paraná;Pública;271,75;279,83;273,58;272,49
RO;1100130;Machadinho D'Oeste;Estadual;272,77;272,37;268,32;261,83
RO;1100130;Machadinho D'Oeste;Pública;272,77;272,37;268,32;261,83
RO;1100148;Nova Brasilândia D'Oeste;Estadual;ND;284,98;ND;286,1
RO;1100148;Nova Brasilândia D'Oeste;Pública;ND;284,98;ND;286,1
RO;1100155;Ouro Preto do Oeste;Estadual;272,95;290,03;281,04;280,09
RO;1100155;Ouro Preto do Oeste;Pública;272,95;290,03;281,04;280,09
RO;1100189;Pimenta Bueno;Estadual;247,2;265,85;285,54;270,63
RO;1100189;Pimenta Bueno;Pública;247,2;265,85;285,54;270,63
RO;1100205;Porto Velho;Estadual;271,15;280,35;272,49;271,75
RO;1100205;Porto Velho;Federal;ND;317,91;-;ND
RO;1100205;Porto Velho;Pública;273,49;284,22;272,49;273,87
RO;1100254;Presidente Médici;Estadual;262,07;274,23;257;277,8
RO;1100254;Presidente Médici;Pública;262,07;274,23;257;277,8
